Token,Token Name,Type,Volume,Change (%),Sales,Min Price (24h),Max Price (24H),Transfers,Owners,Total Assets
"0x28cE223853D123b52C74439B10b43366d73Fd3B5","TGLP Genesis","ERC-721","5 ETH","0.00","2","2.5 ETH","2.5 ETH","3,259","284","0"
"0xa7d8d9ef8D8Ce8992Df33D8b8CF4Aebabd5bD270","Art Blocks","ERC-721","4.8951 ETH","650.00","5","0.024 ETH","27.25 ETH","589,487","38,087","197,720"
"0xEdd960709617F150844BCEf07b46F4c078a99A07","E3 Serum","ERC-1155","4.5789 ETH","12.98","2","2.1499 ETH","2.429 ETH","513","139","0"
"0x495f947276749Ce646f68AC8c248420045cb7b5e","OpenSea Shared Storefront","ERC-1155","4.2244 ETH","298.67","10","0.004 ETH","1.196 ETH","3,887,508","731,222","0"
"0xFdF5aCd92840E796955736B1BB9CC832740744Ba","OVERWORLD INCARNA","ERC-721","4.1407 ETH","39.18","4","0.9102 ETH","2.28 ETH","15,905","1,859","0"
"0x0Fc3DD8C37880a297166BEd57759974A157f0E74","Parallel Avatars","ERC-721","3.4998 ETH","-15.99","3","1.05 ETH","1.47 ETH","31,157","2,322","11,001"
"0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e","Doodles","ERC-721","3.146 ETH","-13.85","2","0.825 ETH","2.95 ETH","136,973","5,443","10,000"
"0xD3D9ddd0CF0A5F0BFB8f7fcEAe075DF687eAEBaB","TEST NFT","ERC-721","3.095 ETH","-35.50","3","0.645 ETH","6.99 ETH","95,490","2,716","10,000"
"0x4Db1f25D3d98600140dfc18dEb7515Be5Bd293Af","HAPE PRIME","ERC-721","3 ETH","0.00","1","0.16 ETH","3 ETH","38,728","3,951","8,192"
"0xCcc441ac31f02cD96C153DB6fd5Fe0a2F4e6A68d","FLUF","ERC-721","3 ETH","0.00","1","0.6701 ETH","3 ETH","54,102","3,211","10,000"
"0x8821BeE2ba0dF28761AffF119D66390D594CD280","DeGods","ERC-721","2.831 ETH","-8.97","2","0.05 ETH","1.598 ETH","134,364","3,048","0"
"0x4a537F61ef574153664c0Dbc8c8F4B900cacBE5d","Mavia Land","ERC-721","2.6329 ETH","331.71","3","0.269 ETH","1.2026 ETH","35,509","2,633","0"
"0x524cAB2ec69124574082676e6F654a18df49A048","LilPudgys","ERC-721","2.5764 ETH","12.96","3","0.8224 ETH","0.95 ETH","197,762","8,027","21,629"
"0x8a8e262861910e8e7Bff93B33C33648bd122667a","CRAZY LUPPY","ERC-721","2.4 ETH","0.00","8","0.29 ETH","0.3 ETH","3,864","80","3,535"
"0x364C828eE171616a39897688A831c2499aD972ec","Sappy Seals","ERC-721","2.2502 ETH","8.35","3","0.6521 ETH","0.964 ETH","145,083","1,571","10,000"
"0xc8adFb4D437357D0A656D4e62fd9a6D22e401aa0","CryptoBatz by Ozzy Osbourne","ERC-721","2 ETH","0.00","1","2 ETH","2 ETH","33,640","6,001","9,666"
"0x0581dDf7A136c6837429a46C6Cb7b388A3E52971","BlockGames Dice","ERC-721","1.91 ETH","3.19","2","0.7242 ETH","2.62 ETH","41,235","1,910","5,555"
"0x0BaECcD651cf4692A8790BCC4f606E79bF7A3B1c","Peplicator","ERC-721","1.8659 ETH","-33.10","24","0.0084 ETH","0.2497 ETH","63,763","4,160","22,065"
"0xbB3f21dD9B16741E9822392F753D07Da4C6b6CD6","Seraph Soul Series","ERC-721","1.8 ETH","2.25","2","0.89 ETH","0.91 ETH","8,230","1,541","6,000"
"0x20C70BDFCc398C1f06bA81730c8B52ACE3af7cc3","Mutant Garden Seeder","ERC-721","1.5 ETH","0.00","1","1.5 ETH","1.5 ETH","2,108","276","513"
"0x99a9B7c1116f9ceEB1652de04d5969CcE509B069","Art Blocks","ERC-721","1.479 ETH","11.59","2","0.0425 ETH","0.78 ETH","66,426","7,380","0"
"0x8ff1523091c9517BC328223D50b52Ef450200339","RugGenesis NFT","ERC-721","1.3983 ETH","-25.43","6","0.14 ETH","0.43 ETH","73,819","7,237","0"
"0xF6ee484f82f28d69688f37fe90Af514ce212b7c3","This Thing Of Ours","ERC-721","1.3717 ETH","-4.56","4","0.2228 ETH","0.355 ETH","7,558","563","0"
"0x000000000002C0b7DFdF4E6a7d53aEB8889b80bf","Xtremeverse","ERC-721","1.299 ETH","-69.97","2","0.285 ETH","0.999 ETH","6,727","677","2,825"
"0x7D8820FA92EB1584636f4F5b8515B5476B75171a","Murakami.Flowers","ERC-721","1.2837 ETH","17.86","3","0.1348 ETH","0.99 ETH","36,142","5,520","10,146"
"0x9236cA1d6e59f8aB672269443e13669D0bD5B353","MintID","ERC-721","1.197 ETH","0.33","4","0.298 ETH","0.3 ETH","12,779","2,738","10,000"
"0x6cA10BC06dE5aF062CFd1DeDDE85B46eF43eC8d3","MetaZellys ETH","ERC-721","1.1199 ETH","0.00","1","0.98 ETH","1.1199 ETH","10,712","365","0"
"0x1Fa8dA0B63C639a7b53baE343e5761D56F898bAc","MurMurCats","ERC-721","1 ETH","0.00","1","1 ETH","1 ETH","2,409","502","759"
"0x561636cd583876C594a403908cD056546d8dD9dF","Retro Arcade Collection","ERC-721","0.992 ETH","4.48","14","0.051 ETH","0.09 ETH","12,882","1,244","3,999"
"0x76603b2Dc8E75fD3411935169AC30f6b3387B7A2","CHuBBiT Official Collection","ERC-721","0.98 ETH","0.00","1","0.96 ETH","6.42 ETH","2,320","242","2,000"
"0xf729f878F95548BC7F14B127c96089cf121505F8","Anata NFT","ERC-721","0.97 ETH","0.00","1","0.97 ETH","0.97 ETH","7,123","898","0"
"0x8C186802b1992f7650Ac865d4CA94D55fF3C0d17","Ninja Squad","ERC-721","0.8787 ETH","10.50","5","0.1609 ETH","0.1844 ETH","36,876","3,475","8,888"
"0x285e363A2013C34740cd23a9430e1EA47be3C190","Overpopulated Symphonies by Alkan Avcıoğlu","ERC-721","0.8657 ETH","-68.68","4","0.0877 ETH","0.28 ETH","540","133","300"
"0x0000000000c26FAbFe894D13233d5ec73F61cc72","Asterix","ERC-721","0.85 ETH","0.00","1","0.85 ETH","0.8501 ETH","134,814","1,971","7,680"
"0x7Bd29408f11D2bFC23c34f18275bBf23bB716Bc7","Meebits","ERC-721","0.82 ETH","0.00","1","0.82 ETH","0.82 ETH","116,952","6,492","20,000"
"0x1D9787369B1DCf709f92Da1d8743c2A4b6028a83","SOUND MACHINES","ERC-721","0.777 ETH","0.00","1","0.777 ETH","0.777 ETH","707","105","451"
"0x03B8D129A8F6DC62a797b59aA5eeBB11Ad63DaDA","SMOWL","ERC-721","0.7553 ETH","-17.02","4","0.1701 ETH","0.339 ETH","22,020","1,422","4,201"
"0x4e76c23FE2a4E37B5E07b5625E17098bAaB86c18","Pixl Pets","ERC-721","0.7382 ETH","-6.50","10","0.0705 ETH","0.085 ETH","53,301","3,044","15,000"
"0x23581767a106ae21c074b2276D25e5C3e136a68b","Moonbirds","ERC-721","0.7258 ETH","0.00","1","0.7258 ETH","0.98 ETH","111,279","5,628","10,000"
"0x7948F7fF1158B338a898e80ce8b1c3C964a80cec","Refik Anadol","ERC-721","0.7 ETH","0.00","2","0.35 ETH","0.35 ETH","1,071","146","0"
"0x9632438ACC88bFCC8780bD114D0D1A2e2F4030e1","EnergyCard","ERC-721","0.6899 ETH","0.00","1","0.6899 ETH","0.72 ETH","1,226","497","799"
"0x9df8Aa7C681f33E442A0d57B838555da863504f3","Pixelated Llama","ERC-721","0.6889 ETH","0.00","1","0.6889 ETH","0.6889 ETH","38,298","709","4,000"
"0x7E6027a6A84fC1F6Db6782c523EFe62c923e46ff","Rare Pepe (2016 - 2018)","ERC-1155","0.65 ETH","-70.00","2","0.018 ETH","58.79 ETH","27,036","5,135","0"
"0x79986aF15539de2db9A5086382daEdA917A9CF0C","Cryptovoxels Parcel","ERC-20","0.65 ETH","16.67","2","0.3 ETH","0.35 ETH","0","0","7,937"
"0x67B630e70E793d48F1329c00Cad9D60977605dF5","GAIMIN Genesis","ERC-1155","0.65 ETH","-3.03","2","0.2652 ETH","2.385 ETH","2,917","667","0"
"0x080E92b26a1D93546D2F5A8EF05A8B823306c146","VR Land","ERC-721","0.64 ETH","0.00","1","0.64 ETH","0.64 ETH","9,302","1,724","6,175"
"0xc3f733ca98E0daD0386979Eb96fb1722A1A05E69","Acclimated​MoonCats","ERC-721","0.6245 ETH","-16.14","3","0.1803 ETH","0.64 ETH","69,936","5,533","19,865"
"0x33FD426905F149f8376e227d0C9D3340AaD17aF1","The Memes by 6529","ERC-1155","0.6115 ETH","-52.33","7","0.0228 ETH","5 ETH","243,246","9,568","0"
"0x7eCb204feD7e386386CAb46a1fcB823ec5067aD5","FULL SEND METACARD","ERC-721","0.61 ETH","8.33","5","0.12 ETH","0.1311 ETH","34,182","5,983","10,000"
"0xb0b25031D79dFEd70A2f77E85300f6E0b67CF54F","DeBox Guardians Shark","ERC-721","0.6 ETH","0.00","1","0.58 ETH","0.6 ETH","557","210","0"
"0xbAbaFdd8045740449a42B788a26E9b3A32F88aC1","Persona","ERC-721","0.6 ETH","0.00","2","0.2732 ETH","0.317 ETH","27,113","3,815","0"
"0xe1dC516B1486Aba548eecD2947A11273518434a4","The Grapes","ERC-721","0.56 ETH","0.00","1","0.333 ETH","0.56 ETH","21,407","939","3,333"
"0x34d85c9CDeB23FA97cb08333b511ac86E1C4E258","Otherdeed","ERC-721","0.5576 ETH","8.00","3","0.1721 ETH","0.25 ETH","545,523","15,255","100,000"
"0x3aa510DC091980E3fDdEde457E7597BFd5d4d64C","KManuS88 NFT","ERC-721","0.554 ETH","0.00","1","0.485 ETH","0.554 ETH","2,669","1,138","0"
"0x97CA7FE0b0288f5EB85F386FeD876618FB9b8Ab8","Ether Cards Founder","ERC-721","0.5524 ETH","0.65","3","0.0769 ETH","3.01 ETH","27,548","2,051","10,000"
"0x064F9547a78bD5Ba35a7aEB2221DE69b86CD6307","Floki Inu - Ruby","ERC-721","0.5359 ETH","0.00","2","0.2679 ETH","0.268 ETH","1,051","356","455"
"0xb55cD21Cc18ACE8EcB60Bff12f1448C9d4baBEC7","WAGMI","ERC-721","0.5331 ETH","91.15","2","0.1831 ETH","0.35 ETH","3,377","469","2,388"
"0x497a9A79e82e6fC0FF10a16f6F75e6fcd5aE65a8","Ragnarok","ERC-1155","0.5229 ETH","-56.75","2","0.1282 ETH","0.365 ETH","29,565","2,494","0"
"0x883aae302e1BE55d895484d4d9fEB60891872C45","Skytopia Mayor Pass","ERC-721","0.515 ETH","0.00","1","0.515 ETH","0.515 ETH","1,649","370","0"
"0x3110EF5f612208724CA51F5761A69081809F03B7","Impostors Genesis","ERC-721","0.4916 ETH","0.00","2","0.0000 ETH","0.4 ETH","39,159","4,223","10,420"
"0xe5C9353Af2F0dab9a02607e7F1F874F1a9060387","CryptoLand","ERC-721","0.45 ETH","0.00","1","0.45 ETH","2.38 ETH","1,686","761","1,037"
"0xdFDE78d2baEc499fe18f2bE74B6c287eED9511d7","BrainDrops","ERC-721","0.45 ETH","0.00","1","0.1203 ETH","1.5 ETH","53,302","3,649","16,214"
"0x11450058d796B02EB53e65374be59cFf65d3FE7f","SHIBOSHIS","ERC-721","0.4355 ETH","-16.07","2","0.1889 ETH","0.259 ETH","41,775","3,481","10,000"
"0xd0353e71Bd4dE73afB3bb795E963F49A8Ba63DC8","Meta Shoppers Original","ERC-1155","0.427 ETH","105.00","2","0.14 ETH","0.287 ETH","459","195","0"
"0x521f9C7505005CFA19A8E5786a9c3c9c9F5e6f42","ForgottenRunesWizardsCult","ERC-721","0.4239 ETH","0.00","1","0.3458 ETH","0.6 ETH","48,373","3,067","9,305"
"0x1A92f7381B9F03921564a437210bB9396471050C","Cool Cats","ERC-721","0.42 ETH","0.00","1","0.411 ETH","0.475 ETH","97,702","5,583","9,968"
"0x9378368ba6b85c1FbA5b131b530f5F5bEdf21A18","VeeFriends Series 2","ERC-721","0.4105 ETH","478.51","2","0.056 ETH","0.35 ETH","133,149","20,573","55,555"
"0x71ba34871FFe7068eAA6b3F5D6aD5469da8CE71A","Worried Meerkats","ERC-721","0.41 ETH","-4.76","2","0.2 ETH","0.2539 ETH","2,191","313","1,110"
"0xA4084B46F01d518616B0cDcC557b7f7E0cF8Bd50","CALIVERSE Pioneer","ERC-721","0.3875 ETH","-28.13","3","0.112 ETH","0.16 ETH","18,717","651","5,000"
"0x8943C7bAC1914C9A7ABa750Bf2B6B09Fd21037E0","Lazy Lions","ERC-721","0.3776 ETH","-48.96","2","0.1143 ETH","0.25 ETH","64,117","4,747","10,080"
"0x8fb956Ce2921954C45Cb3BB41978C4C6C9736af2","Mint Genesis NFT","ERC-721","0.371 ETH","0.00","29","0.0115 ETH","0.0132 ETH","55,629","31,502","37,437"
"0xd1169e5349d1cB9941F3DCbA135C8A4b9eACFDDE","MAX PAIN AND FRENS OPEN EDITION BY XCOPY","ERC-721","0.35 ETH","0.00","1","0.3307 ETH","0.38 ETH","27,536","3,649","0"
"0xB6a37b5d14D502c3Ab0Ae6f3a0E058BC9517786e","Elemental","ERC-721","0.3378 ETH","0.00","1","0.3378 ETH","0.43 ETH","102,653","5,427","15,652"
"0x44aCFA1395e583b9fDc88137b7A03A8e173788b3","Gonesis Ring","ERC-721","0.325 ETH","0.00","1","0.2889 ETH","0.325 ETH","846","734","773"
"0x9401518f4EBBA857BAA879D9f76E1Cc8b31ed197","Weirdo Ghost Gang","ERC-721","0.288 ETH","0.00","1","0.1998 ETH","1 ETH","43,102","1,854","5,556"
"0x1bB602b7a2ef2aECBA8FE3Df4b501C4C567B697d","Apollo Pass","ERC-721","0.279 ETH","-1.43","4","0.069 ETH","0.07 ETH","3,965","313","3,835"
"0x6339e5E072086621540D0362C4e3Cea0d643E114","Opepen Edition","ERC-721","0.2777 ETH","0.00","1","0.22 ETH","2.6967 ETH","244,419","3,928","16,000"
"0x4C4AC03C1bb12af4229d0019444A9048a8cae60B","AtlasNavi","ERC-721","0.275 ETH","3.70","2","0.13 ETH","0.14 ETH","2,149","74","0"
"0x76BE3b62873462d2142405439777e971754E8E77","parallel","ERC-1155","0.2657 ETH","57.89","7","0.0004 ETH","0.8 ETH","1,193,719","61,060","0"
"0x5726C14663A1EaD4A7D320E8A653c9710b2A2E89","Buterin Cards","ERC-721","0.263 ETH","-92.73","4","0.012 ETH","0.165 ETH","6,687","541","2,015"
"0xe01f7ee9E637c17dF805b5747adeF23C62d3ECFC","JeffLand","ERC-721","0.25 ETH","0.00","1","0.25 ETH","0.25 ETH","14,404","215","3,500"
"0x6c410cF0B8c113Dc6A7641b431390B11d5515082","Egg","ERC-721","0.2461 ETH","-3.12","2","0.121 ETH","0.14 ETH","40,906","6,615","17,325"
"0x3Da5CbA01937D38644334E2c24d2C6167426A2FB","KeenSight","ERC-721","0.2432 ETH","-4.08","3","0.0799 ETH","0.0833 ETH","1,123","101","494"
"0xD40230D5e3a6c12Bc73cE80B42BE4E106460BBDB","Long Live The Internet","ERC-1155","0.2401 ETH","0.00","1","0.2401 ETH","0.2406 ETH","2,005","1,036","0"
"0x696115768BBEf67Be8bd408d760332A7EfbEE92D","LinksDAO","ERC-721","0.2267 ETH","0.00","2","0.0555 ETH","0.1134 ETH","25,941","5,359","0"
